wind direction,wind speed @ 10m
1618.813,15.893
347.011,11.623
1508.102,3.400
592.776,7.811
1116.623,7.293
612.220,7.803
1836.575,5.195
879.228,12.118
663.764,8.935
745.839,8.697
951.074,3.139
441.239,1.523
872.183,7.439
2556.075,1.727
757.459,18.271
479.389,10.676
802.136,5.497
2283.688,11.869
446.993,11.972
882.924,5.983
2005.416,6.048
977.595,8.552
1488.816,21.849
1707.121,11.207
2853.270,14.422
742.969,10.863
491.025,8.316
835.643,10.370
1215.144,4.532
224.629,8.462
189.681,4.135
439.069,6.079
184.262,2.862
945.668,6.152
694.405,8.784
768.948,4.394
940.635,17.228
320.342,9.535
285.289,7.056
1150.275,11.028
223.500,4.503
24.368,10.444
670.822,9.923
1454.977,10.141
831.610,8.819
763.621,12.489
603.816,12.831
589.222,1.370
117.432,11.086
1239.920,5.723
338.584,11.001
551.980,6.673
442.088,11.098
292.367,4.828
465.199,18.255
982.103,19.413
542.091,5.365
536.105,3.315
1295.174,6.215
336.466,15.047
521.584,17.238
466.919,14.033
1123.100,12.231
1185.963,0.679
1527.826,5.832
428.875,7.943
181.178,7.722
144.902,7.702
456.414,9.033
811.797,7.473
226.248,10.833
1134.509,1.894
245.516,8.861
737.126,8.421
229.998,7.945
216.000,19.060
800.691,11.400
89.597,10.980
172.210,8.511
1037.108,6.419
527.059,3.375
182.747,10.940
661.615,8.835
638.956,2.111
1440.743,2.785
1283.052,11.236
826.566,10.413
856.635,8.624
584.045,7.688
754.238,2.619
544.359,11.686
637.724,6.694
1183.065,4.794
579.032,17.236
1540.228,9.004
1081.154,6.656
329.903,4.236
732.820,12.401
95.622,13.718
1905.708,17.529
1329.573,3.431
2139.131,5.390
1353.719,1.850
1133.718,14.947
546.075,1.966
564.595,10.423
1004.651,4.979
926.551,5.286
492.811,14.708
407.572,12.497
942.809,5.040
770.878,11.542
1523.033,3.871
946.368,6.006
453.979,10.356
1094.141,11.187
16.495,9.719
300.632,3.833
568.075,20.487
975.578,4.661
1264.488,3.630
1511.780,9.940
1161.656,9.819
873.050,6.817
412.691,2.216
567.569,8.088
72.687,2.551
715.847,4.533
610.327,9.162
1341.119,8.128
450.804,7.677
187.902,6.080
180.652,5.666
348.616,9.405
538.307,5.475
517.541,8.060
393.858,6.800
279.336,8.942
30.999,13.557
642.691,6.027
645.864,6.652
800.252,5.110
720.597,9.520
206.817,6.080
714.858,17.800
240.454,18.362
571.554,3.624
262.847,6.410
1375.455,6.194
173.591,8.646
1039.785,6.249
384.917,14.043
1607.703,8.552
568.579,8.164
441.826,6.969
871.623,4.601
171.607,8.394
2213.492,9.764
359.448,14.917
59.317,9.890
374.651,10.625
1033.755,8.093
120.033,6.897
2335.942,7.860
207.445,7.383
775.153,3.829
160.307,3.903
629.424,11.478
1204.237,7.375
593.748,9.634
1312.320,9.631
664.510,13.749
1227.042,15.050
365.426,9.432
230.787,15.894
445.638,11.487
791.591,6.092
281.210,16.342
1877.911,6.124
336.818,9.820
1005.237,17.517
885.337,6.223
1602.135,10.435
771.479,7.096
376.241,8.620
898.993,8.527
1620.963,14.985
779.785,18.857
1270.930,3.904
648.366,8.663
348.471,14.065
797.581,17.589
975.863,12.712
241.832,5.898
1482.497,2.839
250.873,8.286
1054.734,4.698
2192.413,6.275
182.664,5.344
1907.615,11.805
1162.170,3.759
536.962,6.750
791.815,9.797
352.575,3.318
676.208,16.185
570.530,4.225
689.451,18.031
602.332,6.953
446.962,12.157
1421.209,3.698
85.625,8.216
1656.132,8.097
548.537,3.798
1288.011,11.324
566.327,7.564
636.077,2.699
572.961,15.702
872.823,4.931
171.373,8.584
712.356,7.543
608.332,15.206
564.392,8.642
101.495,5.220
970.138,1.806
440.834,12.856
1440.295,9.152
309.901,20.784
756.923,3.330
570.259,12.419
540.223,13.036
162.778,7.536
1822.759,4.208
644.751,9.383
809.509,4.712
764.678,16.971
296.825,5.564
721.691,12.470
1668.508,5.986
540.720,15.123
458.343,7.818
876.112,17.366
1381.712,16.781
283.064,14.197
1718.187,13.872
670.145,9.315
1617.271,9.842
310.858,7.549
1346.545,15.432
792.918,3.541
576.498,11.583
928.830,2.727
418.230,5.759
206.405,10.147
1108.469,5.497
187.333,5.861
979.551,7.874
149.165,10.787
547.917,8.719
357.410,6.999
1310.582,4.260
346.644,15.249
301.320,13.202
868.071,13.256
1003.984,16.585
223.452,17.734
853.051,9.353
153.930,6.300
343.137,13.788
651.944,10.068
1463.078,5.141
496.661,12.110
1355.476,7.579
1066.558,3.729
1503.287,3.857
493.732,16.870
454.729,11.336
1689.027,9.444
177.351,8.457
530.844,10.982
222.562,2.496
430.239,10.589
1294.921,16.993
395.293,3.483
658.110,7.773
184.534,2.641
608.809,9.882
312.908,3.652
511.513,6.181
1034.866,7.112
647.097,5.439
460.496,17.065
1197.685,5.512
100.010,4.430
1271.805,2.227
1410.717,5.233
608.833,4.703
517.016,6.376
1884.893,9.002
421.519,5.607
408.458,11.532
1637.357,14.290
713.175,9.189
105.513,10.683
439.014,10.251
999.544,2.994
823.142,19.736
2639.408,13.359
324.954,2.421
584.832,3.460
456.308,10.601
418.937,17.517
883.520,19.721
349.188,20.460
359.728,3.441
329.861,7.290
216.311,18.905
25.015,6.112
1143.556,7.663
393.950,21.355
345.646,2.312
214.703,8.598
1192.669,4.854
1443.160,9.149
962.563,4.933
874.417,6.751
1208.183,8.362
390.026,8.076
1439.239,10.287
1398.089,8.623
646.494,5.217
1675.164,18.332
383.438,13.248
408.914,12.812
269.221,1.177
530.596,6.732
471.659,19.425
795.934,9.861
518.169,11.663
861.877,12.747
405.543,11.514
499.202,5.170
561.398,10.355
602.221,3.445
185.531,6.956
543.793,1.187
704.146,9.065
861.689,9.624
878.818,7.798
1379.402,6.944
523.401,7.542
319.395,5.601
1517.268,28.811
382.644,18.361
1211.473,8.882
240.604,12.002
229.659,10.019
1031.413,13.571
1085.557,12.321
573.988,1.736
1311.609,11.070
354.087,5.350
725.911,3.771
814.041,8.192
231.011,3.564
291.336,6.691
118.099,5.760
829.126,8.883
1231.029,11.424
1034.975,5.138
632.216,15.860
1426.449,3.890
1317.840,16.035
335.533,10.613
681.969,5.157
1475.845,11.164
1224.983,8.016
87.302,8.211
197.700,14.273
908.183,13.555
595.524,1.873
756.939,4.589
604.396,18.260
787.450,7.912
710.581,15.369
244.246,3.698
165.592,3.246
803.413,10.314
390.805,22.380
198.726,6.474
1222.908,17.464
1445.675,11.962
365.995,11.756
214.970,7.703
273.734,12.311
133.338,5.022
1018.021,9.379
464.327,10.394
66.417,10.815
83.009,8.479
820.943,5.443
657.258,1.494
375.198,10.504
798.668,16.018
306.851,3.901
1624.508,12.392
1132.632,1.490
1152.116,7.460
337.930,11.727
763.171,10.049
466.241,1.822
754.527,4.335
730.847,14.973
238.729,12.336
1247.166,8.302
423.657,6.206
1184.866,16.780
702.544,5.554
250.581,7.356
221.899,7.990
616.486,20.413
473.166,16.345
1169.553,4.612
1210.045,3.016
536.719,2.136
864.658,5.277
184.750,6.221
27.196,4.881
66.638,8.406
891.375,9.692
1836.882,2.296
443.437,11.779
2581.682,8.474
876.113,6.262
112.450,10.880
1302.978,3.599
121.722,10.858
693.371,9.621
1087.061,12.904
437.874,8.033
904.802,2.479
758.623,4.018
355.791,14.701
1036.639,4.024
1171.820,15.505
880.348,7.540
688.363,6.245
870.324,7.687
249.603,14.052
1366.317,8.901
1109.369,6.044
303.692,2.705
984.088,18.041
1043.070,13.338
1604.106,6.516
2446.441,9.579
678.861,12.782
1912.033,13.613
1579.982,1.971
912.171,3.336
1902.733,26.151
698.800,3.218
1452.858,17.339
347.299,22.794
516.771,4.210
101.065,12.080
927.186,5.471
546.161,11.444
2261.604,16.383
622.645,6.381
630.121,6.023
362.697,9.353
1043.929,13.808
2271.513,13.917
172.295,5.173
852.167,6.477
395.179,8.745
1336.349,6.090
265.433,11.350
1305.304,11.672
864.174,12.218
360.954,13.037
373.376,4.448
516.256,11.643
885.956,8.868
51.312,15.701
630.997,8.847
769.244,3.793
303.699,12.757
253.019,4.482
669.897,5.242
762.759,5.641
131.519,4.285
1252.234,7.383
935.069,4.649
805.731,19.025
641.003,5.777
1382.954,8.222
516.255,9.195
445.682,5.875
669.875,6.570
1803.578,7.518
876.771,5.902
1162.605,7.522
826.510,6.584
855.152,6.457
322.857,19.464
455.668,5.266
30.043,3.531
1279.164,11.416
696.467,7.068
902.499,4.987
498.297,2.968
1891.243,9.597
102.689,7.761
483.223,8.487
327.690,9.495
147.671,10.326
1120.553,5.398
1215.749,5.724
179.829,5.952
1117.382,9.171
789.337,7.856
843.625,22.368
379.283,6.124
716.025,8.125
743.338,5.986
641.656,5.328
1302.701,7.534
356.424,6.507
41.798,4.134
223.479,3.685
960.299,15.217
428.075,12.766
157.954,2.385
50.578,11.018
556.390,3.644
1436.263,5.184
1113.546,9.132
351.248,5.966
801.289,2.464
165.129,2.633
134.953,13.038
333.776,14.283
524.462,12.261
539.125,6.606
1802.519,13.088
458.433,4.522
283.318,12.729
729.975,9.455
556.030,5.835
472.220,10.531
549.076,15.417
1032.316,5.048
1045.804,1.152
91.057,15.089
2861.255,11.855
687.000,5.261
81.434,19.202
401.033,16.850
2209.259,18.397
256.365,16.989
168.373,2.093
1120.460,2.429
1239.400,1.709
1991.107,10.108
710.147,7.331
365.717,13.515
618.162,5.782
2576.742,12.835
118.748,9.001
942.146,17.788
952.449,15.722
1574.281,14.745
218.711,4.499
1418.623,3.158
1451.849,1.282
198.114,5.476
366.533,6.674
327.856,15.026
85.418,19.226
235.171,6.186
365.918,5.804
957.177,12.389
733.642,7.109
445.271,4.343
338.744,9.990
380.339,12.045
583.882,11.605
288.657,4.585
2039.487,9.679
263.936,6.321
142.161,4.481
203.057,9.491
288.922,9.744
28.941,8.390
142.616,18.097
839.977,5.767
591.369,10.871
205.149,7.939
1135.522,13.968
924.536,3.742
294.340,9.743
801.427,4.771
1219.170,7.513
609.171,3.559
1859.365,9.032
1064.438,6.633
1319.038,5.376
756.305,17.083
873.802,15.183
619.668,15.222
1250.192,11.174
773.521,13.482
315.749,9.098
214.201,11.578
1621.039,1.617
1601.398,8.499
949.851,7.366
390.562,5.383
662.746,10.748
99.449,13.662
1009.755,12.974
571.947,7.977
390.367,15.349
615.497,3.832
270.221,3.131
1344.146,4.763
800.177,6.418
339.066,6.541
1554.153,7.848
234.274,9.430
567.658,9.927
1025.231,2.736
170.912,19.578
600.950,8.973
412.352,15.847
291.310,11.066
1128.064,9.729
734.142,7.100
1324.835,2.326
1744.423,12.356
689.872,3.882
1613.260,15.658
499.092,16.070
1177.483,6.809
417.017,9.725
672.512,20.023
579.836,16.081
332.947,9.215
1680.142,5.175
802.464,5.314
1982.347,5.399
95.178,11.520
438.033,7.575
544.416,10.765
1489.284,9.221
374.292,12.553
770.203,8.147
466.641,2.394
537.764,9.120
286.464,6.347
1564.713,9.039
40.356,1.706
1055.266,8.294
277.299,4.263
497.304,4.839
481.783,7.729
1322.735,10.172
407.787,5.271
703.450,20.885
404.590,13.243
525.316,3.177
604.125,16.163
658.375,11.241
358.522,4.355
315.292,7.714
256.797,11.887
449.530,15.432
1389.822,21.160
564.345,5.945
429.572,7.184
579.116,5.732
883.124,11.615
755.112,3.145
653.990,4.654
264.019,7.522
443.245,6.326
767.493,7.924
468.593,6.130
953.373,5.984
534.981,9.743
986.930,6.967
2742.250,9.957
367.417,3.882
522.095,14.196
205.703,14.433
180.471,6.254
788.194,10.183
301.491,10.987
600.032,13.996
255.690,12.861
681.505,7.484
270.179,4.340
1353.332,6.406
319.566,18.054
762.468,9.029
554.259,6.362
802.626,1.784
1268.334,6.652
267.618,14.427
819.760,3.217
887.033,3.501
645.697,13.104
422.896,5.380
588.424,6.510
902.748,11.018
182.669,22.815
457.919,16.208
221.455,12.399
524.328,5.924
1181.180,2.655
323.802,0.962
1295.210,4.938
450.731,17.970
2030.460,11.056
78.643,10.726
657.572,18.004
456.250,17.120
1353.332,5.660
259.348,6.023
579.130,8.710
702.218,5.896
407.745,9.292
189.141,8.586
513.462,15.046
1744.431,9.737
234.361,13.144
846.083,5.418
544.368,11.156
740.215,11.276
214.829,8.716
1073.455,9.947
1191.568,8.583
351.660,10.189
1106.463,8.575
437.948,6.730
385.055,11.218
1203.511,12.383
227.655,5.428
609.048,13.006
488.843,6.800
513.274,7.625
1213.045,9.438
738.490,8.588
804.871,14.123
1457.022,8.957
1129.043,11.220
563.251,10.822
1640.256,5.850
622.319,5.794
597.755,12.850
957.591,15.444
385.769,7.356
1357.721,12.707
862.207,11.215
813.791,8.321
650.350,6.051
1620.351,8.169
1087.885,12.416
347.272,12.082
505.271,10.236
1092.324,12.931
627.554,7.001
1590.544,13.328
1839.685,7.712
363.518,5.998
810.493,5.257
353.758,15.254
623.485,11.807
493.297,12.670
427.838,4.235
17.668,19.964
756.490,8.923
1209.311,13.480
825.939,20.725
368.706,10.472
164.375,11.550
24.075,7.016
687.757,10.893
526.525,7.177
1043.720,5.511
893.433,2.999
621.824,3.562
1097.304,10.085
521.945,8.739
1394.061,8.376
719.972,10.884
559.473,14.526
529.997,5.085
572.694,10.793
208.889,13.526
1069.045,12.131
686.634,21.875
269.205,11.938
1178.272,12.712
242.873,3.982
219.495,4.081
779.582,10.393
267.078,8.026
384.936,4.627
1435.862,5.949
478.645,7.916
497.862,8.636
923.727,15.743
129.186,7.480
526.020,8.319
1249.076,17.996
588.130,9.176
616.206,4.158
152.902,7.396
783.055,10.748
1771.619,6.797
267.732,16.913
43.156,15.188
223.257,8.063
390.717,10.794
504.776,15.291
120.804,11.591
222.482,6.329
117.665,3.611
445.804,2.596
222.484,12.012
683.710,11.028
342.830,9.825
636.143,11.549
1088.878,9.689
75.150,9.193
213.686,3.668
493.592,9.845
628.067,9.459
349.279,15.518
1118.915,18.661
277.604,20.856
1426.682,17.453
1258.425,4.927
344.253,3.795
653.736,17.587
66.663,6.878
994.386,8.257
2077.452,8.932
642.244,5.291
226.342,8.749
555.041,11.173
1321.856,12.699
725.969,18.383
307.861,16.598
806.801,5.774
1098.073,15.244
42.745,8.459
2641.492,8.017
134.176,5.481
100.826,10.131
360.914,4.377
739.949,6.334
212.597,1.757
311.964,8.489
1198.603,0.228
726.552,2.801
413.514,20.118
1555.549,15.618
523.344,4.197
860.062,9.249
2397.948,4.713
803.844,4.613
1229.679,2.770
609.739,14.574
328.262,7.600
411.270,8.547
455.115,8.756
613.518,7.060
289.718,6.098
453.340,7.269
1439.298,14.848
547.179,3.646
1380.072,16.048
410.012,1.704
1481.512,1.620
257.531,13.781
236.032,3.950
1458.107,0.852
876.194,14.587
1144.595,5.762
119.067,12.415
367.011,7.758
481.037,8.354
186.454,16.151
1177.218,11.942
707.346,10.751
3427.332,8.110
382.585,13.906
308.232,10.852
696.441,3.772
849.810,4.283
421.020,9.959
202.297,4.484
1378.065,5.702
536.891,8.089
581.062,2.076
1049.600,22.792
708.815,12.152
278.295,11.329
204.512,7.949
540.737,19.646
642.327,15.836
164.284,6.277
552.264,9.626
704.892,4.078
476.939,9.136
1152.615,3.518
454.503,9.528
709.220,0.384
624.783,16.235
1863.904,3.311
267.609,10.707
189.647,5.889
638.595,3.552
271.859,4.009
504.072,12.655
333.288,11.128
876.170,20.228
485.864,8.161
349.244,16.422
273.867,16.670
377.653,17.475
179.998,4.549
982.851,11.433
383.526,11.664
1199.290,5.344
224.080,15.371
1061.942,4.798
431.804,5.934
1710.738,6.812
151.561,3.649
589.267,16.978
670.083,1.799
754.910,3.688
1540.981,11.385
285.274,8.311
1063.360,13.162
128.439,7.848
691.478,6.359
598.734,7.838
416.309,7.849
600.596,6.558
988.850,5.100
963.090,6.279
830.642,8.675
192.283,8.962
412.295,5.357
305.251,9.412
1071.723,8.047
1485.788,10.533
1249.886,3.080
2222.739,17.177
19.922,6.238
771.152,3.010
350.938,1.679
1234.832,2.116
1277.158,19.904
444.747,11.958
286.389,6.523
89.637,20.653
1458.136,9.445
694.992,6.774
465.025,10.854
1627.501,3.748
1386.947,12.477
316.912,5.040
187.153,19.613
1300.762,10.928
340.555,5.649
604.730,9.653
706.332,18.936
945.347,5.573
848.324,8.460
530.616,10.141
184.895,1.755
1105.401,8.063
320.724,5.488
542.699,6.185
232.725,5.202
330.617,14.763
755.256,14.052
441.024,9.320
913.349,3.732
1541.475,16.994
350.227,14.109
112.055,5.263
219.442,2.571
395.272,11.205
1807.331,11.518
659.565,8.651
273.176,8.716
325.967,3.467
807.521,6.201
88.080,13.232
649.340,5.525
448.753,6.440
938.048,18.652
312.698,14.091
1102.697,7.517
698.569,16.499
99.951,9.487
824.753,8.101
492.740,10.613
114.064,4.490
572.570,8.908
1166.276,6.973
591.062,5.326
647.278,10.266
1176.771,6.266
596.944,4.353
556.293,3.284
676.096,11.956
786.203,10.345
169.101,15.618
967.506,13.553
655.051,7.656
750.055,8.099
250.762,2.933
674.135,11.661
2117.574,2.808
1003.716,11.384
1026.340,9.182
291.287,6.992
723.018,6.433
927.745,6.603
299.520,10.913
323.906,2.366
116.448,5.147
155.989,9.066
360.607,1.287
1774.948,4.996
1205.883,6.879
576.039,14.362
1213.448,3.487
470.052,7.962
580.008,6.750
402.308,1.590
1354.348,5.247
361.905,1.139
1070.812,11.712
1784.841,4.408
2382.588,2.017
974.349,3.354
299.826,3.523
350.845,2.279
571.805,13.515
865.378,5.954
454.022,6.067
771.098,10.814
1456.623,4.477
155.806,6.282
1314.160,7.631
781.233,12.108
1642.435,8.341
1401.877,1.968
267.228,10.814
147.705,20.424
720.381,14.845
276.819,8.696
1087.746,9.089
445.380,5.703
636.177,1.508
424.669,5.730
308.023,12.243
46.949,2.672
2405.018,12.912
506.454,2.561
131.929,12.055
596.174,4.636
219.842,14.374
863.218,7.581
220.033,10.567
188.117,9.637
267.151,7.181
1294.868,6.086
409.845,3.837
658.008,7.113
392.138,11.938
891.862,9.700
571.252,14.731
635.876,10.828
2950.461,9.149
452.590,9.088
213.881,14.641
487.448,1.892
1188.214,8.970
604.268,12.286
959.789,13.597
1564.536,8.157
115.660,12.270
279.809,6.706
503.799,10.068
462.519,5.738
285.059,5.584
70.379,10.958
324.402,4.736
417.861,18.093
689.248,11.751
1254.034,7.322
585.085,5.586
73.254,2.155
96.801,3.271
292.110,5.654
735.187,10.620
546.740,10.010
548.886,8.330
881.483,9.054
413.044,1.986
379.726,15.718
147.741,10.196
932.270,5.704
492.465,6.959
1245.551,6.346
274.051,1.558
1912.087,2.162
913.871,8.220
196.561,13.748
430.164,19.099
790.807,5.810
620.175,1.117
1089.097,2.977
769.028,5.426
1411.074,15.895
317.786,7.320
1367.688,12.210
722.588,15.081
867.020,3.821
581.405,1.603
501.880,8.135
343.573,11.984
582.085,11.469
250.790,16.076
716.277,5.747
989.232,12.583
538.624,7.638
172.544,14.482
1876.313,6.344
640.508,9.625
1582.561,6.406
1779.362,10.819
1049.151,9.742
919.356,8.222
297.005,19.880
518.012,7.555
189.121,5.664
236.936,14.175
133.237,6.804
997.447,5.761
525.016,14.774
2047.559,19.470
562.296,10.253
253.989,4.558
509.645,5.822
463.945,10.462
657.186,11.466
1483.403,3.872
652.611,18.668
628.269,9.883
193.409,7.942
91.818,0.366
1001.459,2.518
1497.061,2.000
1279.857,4.181
1084.141,6.659
896.710,2.063
1732.636,5.256
1093.676,14.723
478.238,4.804
1160.941,10.818
131.758,10.421
280.243,11.846
413.766,13.482
449.956,6.711
533.837,6.158
1913.694,3.755
500.181,11.323
1095.843,8.071
90.292,13.064
159.635,5.692
2273.960,6.700
597.777,5.104
61.768,2.956
609.676,11.146
324.805,7.412
1307.518,4.862
1126.044,3.709
682.860,3.174
362.936,5.435
948.663,11.713
588.774,7.985
538.335,14.455
2905.577,3.414
773.238,21.219
1042.607,10.123
1155.901,6.977
1088.790,10.228
376.219,9.084
949.819,10.427
183.271,5.149
308.049,16.513
260.728,7.887
480.944,6.210
185.289,8.003
387.058,9.947
477.637,10.549
423.872,6.928
342.016,11.815
1243.082,0.768
324.733,14.066
1511.161,7.336
558.893,2.745
623.992,5.958
611.715,5.821
505.244,12.122
743.266,2.035
1110.791,1.016
774.925,12.828
594.382,7.216
453.603,18.168
369.697,5.751
558.215,8.500
689.720,5.684
1775.187,24.317
307.320,8.824
636.623,16.179
504.714,2.962
424.355,5.257
827.011,3.369
539.950,9.294
581.618,5.002
715.855,6.646
819.632,11.218
464.562,11.160
372.406,10.553
1010.372,2.805
628.333,2.232
2077.834,8.836
1194.518,16.352
458.852,5.459
2832.256,9.881
618.941,18.787
238.384,20.490
819.495,13.488
909.717,2.479
528.601,8.428
682.294,11.914
172.778,6.872
1656.540,8.146
302.480,16.986
1025.271,8.236
738.109,9.882
679.663,9.222
757.215,4.135
1205.486,2.950
214.662,1.723
2130.770,9.495
1085.251,10.638
430.916,8.475
161.944,13.660
2234.197,2.212
241.261,14.750
426.725,2.878
534.120,8.881
129.978,10.113
826.566,6.928
1031.486,10.341
1287.769,18.134
964.070,15.357
1639.883,15.777
324.017,0.948
599.312,12.344
713.617,9.776
942.660,10.844
881.030,2.860
86.621,1.054
110.372,2.820
949.821,13.477
490.982,6.989
1275.766,2.743
1265.672,19.025
337.670,5.211
628.864,6.792
641.979,5.183
83.316,19.874
825.093,5.419
1014.179,2.414
773.445,3.274
230.380,3.759
1062.300,21.208
143.331,4.042
1029.812,16.255
2256.469,12.552
593.893,6.116
1172.340,10.689
2769.687,8.793
945.836,6.132
1678.082,11.848
588.927,11.831
316.179,3.882
943.993,12.344
323.007,12.913
1066.931,8.242
429.917,12.664
495.377,5.470
232.462,8.940
141.146,5.706
137.895,3.882
1704.013,4.835
624.352,7.733
1119.237,11.091
698.689,8.141
531.375,8.416
658.777,4.775
3146.342,9.556
691.110,6.252
627.221,14.603
147.263,21.108
187.181,8.480
223.499,8.269
680.972,12.376
153.363,10.761
506.975,5.895
2812.703,3.932
1294.692,7.760
148.290,4.620
669.293,11.120
379.433,14.567
411.211,2.430
184.833,4.809
1441.146,8.379
1155.089,3.159
153.369,4.281
22.876,15.023
411.031,14.175
41.215,14.417
924.598,10.326
235.482,9.266
837.808,10.605
494.709,5.699
778.986,5.262
1251.585,4.516
667.418,8.682
638.775,4.831
407.358,6.061
2040.959,4.033
401.768,9.773
1557.256,10.346
1109.636,13.428
730.492,10.077
717.180,14.307
407.579,11.588
655.923,4.633
566.732,11.500
1640.469,7.645
223.405,7.310
1184.327,5.896
799.161,12.516
755.459,5.498
479.364,6.322
1031.406,4.180
1642.656,7.714
1495.875,5.753
395.685,4.572
1417.979,1.692
725.437,12.802
1834.432,3.472
1187.531,13.585
633.374,14.233
540.528,10.245
623.977,3.369
951.890,11.978
730.971,4.502
835.789,24.495
369.860,13.574
196.797,7.577
423.414,8.460
473.597,4.751
827.790,7.441
526.100,9.512
390.687,13.104
143.575,5.897
938.885,5.555
226.116,15.555
356.045,14.968
927.733,9.272
376.127,7.551
702.272,6.142
656.635,7.710
266.965,9.803
747.069,4.312
2000.939,7.904
938.661,5.223
772.134,2.806
1217.140,10.840
481.790,4.076
1300.995,5.557
1084.077,13.255
818.635,12.296
378.762,2.263
134.226,11.932
285.462,5.525
802.844,8.369
416.525,7.175
216.843,2.479
339.860,1.250
484.860,8.519
1225.091,6.838
1117.992,13.100
336.072,7.636
639.196,3.859
385.366,2.276
631.514,1.965
775.660,5.056
429.057,16.018
355.787,13.086
376.511,9.990
718.865,3.671
1503.989,4.117
1444.059,8.095
1605.585,9.553
651.111,4.054
732.341,5.356
1592.705,4.993
1174.337,1.024
1518.840,7.469
1430.861,9.762
174.730,3.616
416.243,1.339
419.316,6.813
462.850,1.812
1659.237,9.411
530.076,14.261
451.668,6.840
1378.952,6.038
1408.241,16.030
1166.145,8.478
581.634,10.769
286.510,9.010
2571.628,5.006
551.034,3.515
127.422,10.602
871.353,12.724
